Term,PCA_X,PCA_Y
<BATTLE>,0.4135816085935803,0.119616913116213
<TURN>,0.3734293650977099,0.36246457067143806
<HP_REMAINING>,0.3295245575078076,0.18515494933297336
<FAINTED>,0.33858912339658187,-0.24627171404861747
<BATTLE_WON>,-0.0888526129535043,-0.19427216750824483
<BATTLE_LOST>,-1.1151159858817736,-0.2765756910761706
<ACTION_USE>,0.4273072092369216,0.1791825026955939
<TARGET_ON>,-1.1603268015037886,-0.29814676697382997
<TARGET_AGAINST>,0.4483210112405156,0.10195387137174976
<EFFECT_SUPER>,0.47485569096909375,0.025805336488983796
<EFFECT_NORMAL>,0.5340868040282727,0.27251815071994623
<EFFECT_WEAK>,0.4338225912051557,0.05381596416506792
<EFFECT_NONE>,0.29976855332901226,-0.08754952517228591
<QUERY>,0.42053224613508244,0.09064900792694555
<FACT>,0.42272651634672653,0.105462592211049
<ANSWER>,0.18964771165785574,0.16392163874019242
<HAS>,0.37842527913771623,0.1762954348704856
<IS>,0.08674971936146453,0.20049278577765403
<TYPE>,0.36882155969204594,0.0941838724922925
<BASE_HP>,0.26544739889205987,-0.11259159947610486
<EVOLVES_INTO>,0.27338486953659685,0.040858708022155486
<POWER>,0.2558694014259546,-0.01551153887842533
Bulbasaur,0.31298316775869367,0.22782648817236129
Ivysaur,0.3693991750204292,0.34576912123698866
Venusaur,0.36981315617068106,0.35429765600278657
Charmander,0.28311463178395224,0.2864269078904541
Charmeleon,0.3538981365235833,0.33930458735889596
Charizard,0.35813310455762903,0.31335868308908144
Squirtle,0.33042470706086013,0.3005628315982078
Wartortle,0.4105430933849498,0.3701496490999043
Blastoise,0.40209166200967367,0.33905198531553976
Caterpie,0.28849503440687085,0.33184554479969497
Metapod,0.350466034037739,0.25795394935678684
Butterfree,0.39538773502075125,0.4229287704153359
Weedle,0.33618202907563094,0.2260209217599359
Kakuna,0.37167342071759457,0.2294481645094485
Beedrill,0.3999549963134909,0.3434594158786254
Pidgey,0.3458101260669631,0.29184349827640643
Pidgeotto,0.4237401368605437,0.39227524007084147
Pidgeot,0.37021845938828435,0.37296559010606745
Rattata,0.33147787110294763,0.2595964703964627
Raticate,0.3648485737864039,0.372441407956267
Spearow,0.38329020751989223,0.33648594286636924
Fearow,0.4216674590888864,0.40335180086712585
Ekans,0.2955785276015133,0.31517125288967934
Arbok,0.35005748758942423,0.3726031887774987
Pikachu,0.3114584739787808,0.2982475997899104
Raichu,0.3267548788705868,0.3188120323745873
Sandshrew,0.30787573649164673,0.2843861726048095
Sandslash,0.3683418891559165,0.3551479593814766
NidoranF,0.3800902921057297,0.24786500332282113
Nidorina,0.35756439179219957,0.3194116076329358
Nidoqueen,0.363543101128674,0.3317222306522723
NidoranM,0.3517100870029357,0.17924081698023347
Nidorino,0.3308035413683428,0.29513594240205887
Nidoking,0.35036180728141003,0.34890329547576715
Clefairy,0.31810342223359206,0.30443574598025513
Clefable,0.41097221550209423,0.31370779587659375
Vulpix,0.34568978601462946,0.29419945946962306
Ninetales,0.36935956638364226,0.40126321412132415
Jigglypuff,0.3831722390132753,0.32323804436067904
Wigglytuff,0.3909534086583777,0.3509247705602563
Zubat,0.38353739524117875,0.2993318219647384
Golbat,0.30298023937557955,0.3496628061445508
Oddish,0.37106859392744335,0.31104582932317903
Gloom,0.36738854626293926,0.4317661681182655
Vileplume,0.3334189094837863,0.3624039084199145
Paras,0.3486420430199631,0.3360556251203901
Parasect,0.36144021257140185,0.40196410394339704
Venonat,0.37942931751852893,0.3141921825898029
Venomoth,0.3903313098350543,0.41713982962212764
Diglett,0.3222168842771158,0.24977273087049506
Dugtrio,0.355022523801876,0.34731055189152493
Meowth,0.360568690334475,0.3235694857583637
